modelID,Neff
3002,2.78398
5001,5.67834
6005,9.90872
7002,1.87497
8013,3.39273
11006,10.2298
12007,2.95641
14004,4.02219
15006,3.9545
16001,5.68101
17001,6.48075
18011,4.77484
20001,2.44869
20003,3.0338
20013,2.80153
25007,5.35333
26001,9.05958
26005,9.25609
27002,6.33914
30001,4.09683
33001,4.89511
37002,2.07193
39001,4.18419
41001,10.1044
43001,2.54415
48020,5.61817
48023,6.97958
52001,8.16626
53001,7.74622
55002,11.1769
60001,4.62039
62002,5.47744
63001,5.01589
64001,2.64214
65004,10.7674
66001,4.51162
67001,2.3411
68001,8.71767
70001,3.52177
71001,4.39515
72001,5.90806
74001,3.90037
75005,8.89669
75008,4.29785
76002,6.33351
76016,1
76019,4.73498
78001,4.04569
79001,3.48389
81001,3.30119
82001,4.86965
83001,10.072
84006,4.85136
85001,3.9019
86009,5.4378
86015,4.75704
87001,3.72277
88001,8.26583
88003,7.26796
90001,4.15074
91001,5.89811
91003,6.20491
92025,5.87015
94001,4.44362
97007,2.50277
100001,7.57461
107001,4.87218
110001,3.58753
111001,5.00684
113001,8.38178
116001,3.74164
118001,3.24042
119001,3.21924
120001,4.64792
122001,2.65335
122003,3.84575
122005,2.98329
123001,7.54892
128001,8.12686
132006,9.33992
133025,4.19892
134001,5.23226
134004,4.40126
135001,3.39939
136008,7.43239
138010,3.41195
140001,5.35984
141001,10.4197
144008,2.80146
148001,11.9408
152008,5.35549
156001,1.30272
156005,1.31052
157013,2.05999
159017,8.59777
163001,6.70953
164001,7.28029
168001,2.51185
173001,4.94828
174001,5.72825
175021,5.60462
177001,3.24333
179001,1.86497
181001,5.5843
184001,5.38897
184004,10.1067
186001,7.60296
190001,9.64176
191001,9.26645
193001,10.1716
194001,4.79031
196001,4.25887
200001,4.02696
200003,2.75636
201001,4.42826
205001,5.7635
207007,6.68767
214001,2.92073
217003,3.42112
218001,9.41427
219001,4.04492
220001,3.91412
221001,2.92708
222001,7.69245
223001,4.6221
225001,4.53034
225007,3.96079
229001,4.02624
230001,4.21861
231001,3.66388
233002,4.39806
236001,2.68901
238001,3.93622
239001,1
240001,4.29718
241001,4.49455
242001,7.06955
249001,11.8876
250010,8.51721
251001,6.34115
256001,2.55213
257009,7.73276
262004,4.31838
262006,3.94625
269001,7.9963
278001,5.80539
278015,3.92459
282001,5.04177
285002,2.15302
296001,8.01854
298001,4.93144
304005,10.0788
307003,4.11362
325001,3.53403
328006,1.51393
328010,2.84902
329002,3.2484
332001,3.0883
333001,5.13162
334005,5.09796
340001,9.46407
341001,4.79688
343001,3.80613
345001,4.44863
346001,3.03354
347001,2.14961
348008,4.74174
351001,4.89034
352002,1
353001,2.14751
356001,2.12103
358001,5.65199
365001,10.7767
372001,2.77633
377001,1.13288
378002,4.05722
378006,3.52419
382003,3.03034
385002,1.17808
385003,4.26124
387001,8.24913
389001,1.74953
395004,2.40317
398002,7.12364
410008,7.92027
418001,5.82901
419001,1.45339
420001,3.1852
420004,4.42606
421001,2.74259
423001,7.69851
424001,3.89445
427002,6.06682
435003,7.92046
447016,2.2534
448001,4.73382
450003,1
458001,6.69177
461003,1.57979
462001,7.14756
462004,6.13551
463004,10.014
466003,3.00264
468001,2.89824
468002,3.34154
469001,2.92179
472001,8.23048
473004,5.3431
474001,5.14357
486002,5.99366
488001,5.84145
491001,6.3316
492001,2.91606
499001,5.24065
517001,2.07641
518027,2.37074
519001,5.59963
520001,8.36514
521001,3.54888
524001,2.26863
524004,7.88682
527001,1.60173
533001,4.56262
534004,4.34869
537001,4.34744
540001,5.11392
541001,5.16291
543014,4.19064
544003,5.36678
546001,5.35233
549001,5.25207
550001,10.5694
551001,4.8711
552001,5.19168
553001,3.77399
558002,1
563001,2.15511
564001,5.29118
566001,5.00139
573001,3.59259
576004,4.71195
584006,1.24271
587001,8.39283
588001,5.28872
591001,9.57144
592001,3.91061
594001,2.69399
600001,4.77255
607001,2.11756
607004,4.18536
609001,3.19394
610001,2.74825
611001,5.44086
613001,4.90556
615019,3.90482
616001,4.70924
621001,12.4919
623001,3.24747
623003,2.2771
623005,1.76277
624001,2.36798
625001,3.87929
626001,9.90339
628001,8.58044
629005,2.70005
631001,4.02928
632001,4.36135
633001,5.81957
636001,1
640005,6.60851
645001,2.97464
646001,6.30056
655001,3.95356
656011,1
657001,4.80424
658001,5.62821
659001,1.266
661001,2.47639
662001,3.93868
664001,3.99096
666001,5.79281
668001,1.64518
669001,1.2434
672001,9.87571
673001,6.567
674001,3.66203
675001,2.64735
677001,8.40658
678001,4.33577
683003,8.62214
689001,5.42778
693001,3.06885
694001,4.85422
697001,4.70195
699001,2.2207
702001,4.69083
706001,2.20956
707001,3.55311
707002,3.55897
709006,4.92604
716001,5.74953
718001,3.30816
718013,9.94682
718027,5.0613
719001,3.53485
719003,2.81181
719007,4.07097
720001,4.95588
720007,3.0496
721001,5.13825
724001,3.95997
728009,11.2771
734003,4.17616
742001,3.11319
747001,4.13608
748009,13.3055
749003,4.68544
749004,2.97959
750002,2.9717
752001,11.4321
753001,10.7705
753004,11.2582
754001,3.17917
765002,5.89995
768001,3.64821
768008,1.89909
768014,4.61563
768020,4.78495
769001,2.51059
771001,3.97943
774001,10.584
775007,6.51934
776001,5.54076
786001,1
786002,5.69467
787001,11.854
788001,3.03269
790001,5.76791
791003,4.71513
794004,3.81686
797001,3.27418
798001,1
798002,4.92161
800003,1.29983
803001,2.85155
806001,8.87678
808001,2.6162
808004,3.3173
809001,5.52874
812001,9.56894
815001,5.72929
823001,6.4815
834010,4.15268
835001,5.40458
835002,3.3133
836001,5.08025
839002,4.79598
840004,11.8154
841001,6.13556
848001,3.29144
850001,10.8291
851001,3.60807
862001,2.68623
863001,9.02408
864004,4.73448
869001,6.75866
870001,9.7827
871001,1.81935
872001,1
873001,5.47493
875001,2.30426
876001,6.87909
877001,4.45929
892001,5.63764
893013,7.86943
896001,7.97047
900001,1
902001,7.74755
902002,8.93012
904001,3.01067
907001,1.77983
908001,6.81559
913003,8.56702
922001,4.93504
926001,4.35522
926002,3.15119
930001,2.57822
931002,1.47812
932001,3.39899
933001,3.22885
937001,3.61447
939001,2.43971
940001,4.32014
943001,3.61916
943004,3.97633
948001,2.1908
948004,2.78895
948036,1.98612
949005,6.86236
953001,3.90322
955001,3.25509
957001,2.90672
958001,4.35116
959001,5.62672
961001,1.87514
965002,2.01204
965003,2.26114
966001,4.0367
968001,6.25149
970001,6.92023
973003,10.0313
974001,2.8004
974002,4.32421
977001,1.59594
978005,3.33262
980001,6.46861
984001,3.09013
985001,5.06513
986001,5.70527
990001,3.99288
992001,2.54817
993001,3.87588
994005,6.29804
994007,5.25338
997004,8.95496
999001,3.40317
1002001,1.496
1005002,3.89423
1009001,4.7323
1011001,9.66686
1014001,4.76741
1016001,2.0751
1026006,10.869
1027001,1
1033001,4.87471
1034004,4.68556
1035002,5.40128
1036001,3.99781
1038001,5.36504
1040001,2.66006
1045001,6.01028
1047001,2.22869
1048004,9.60428
1051001,5.09533
1052001,10.0269
1054001,10.265
1055001,3.04318
1056001,3.98268
1057001,5.68473
1060001,1.94763
1064001,5.70988
1064003,7.16977
1065001,4.33066
1068001,6.07318
1069001,1.7881
1070005,4.99302
1071001,3.88503
1074005,1
1075001,6.11576
1076001,5.10571
1077001,6.89986
1078001,4.18563
1079001,4.06851
1080001,7.2206
1082001,8.22921
1083001,4.28091
1084001,1
1085001,4.49037
1086001,3.42022
1087001,4.39605
1088001,2.44963
1090001,1.70799
1090003,1.76526
1090005,2.36578
1094005,1
1096001,7.82896
1100001,3.50943
1102009,5.57097
1103007,8.41366
1104001,6.92148
1105001,11.3229
1106001,5.53649
1108001,3.9633
1109001,5.40861
1110001,5.13213
1113001,2.33303
1114001,5.06116
1118001,8.40147
1119004,5.18935
1126001,2.00116
1127001,4.52791
1131001,5.80967
1134001,3.9191
1135001,3.36354
1137001,4.95409
1139013,5.14481
1140001,6.3427
1141001,6.2397
1141003,5.98969
1142001,3.03818
1144001,1.07176
1146001,2.41178
1147001,2.91233
1149001,7.51069
1150011,3.156
1151001,3.91576
1152001,2.65088
1153001,1.72998
1154001,2.57958
1155001,7.18976
1158001,6.38183
1159001,3.88502
1160001,1
1162001,3.10557
1165001,6.1494
1166001,4.66722
1169001,7.04765
1170001,4.6908
1171001,6.56736
1172001,5.53503
1172006,4.41621
1173001,3.01821
1174001,3.48199
1175001,7.28334
1176001,3.30363
1178001,4.89667
1180001,1
1184001,8.50755
1195001,5.73626
1196001,7.92959
1199001,4.7181
1200001,1
1201007,3.72261
1202001,3.8599
1203001,3.68404
1206001,8.7728
1237001,4.50234
1239002,4.99309
1240002,5.36033
1241001,4.03361
1246001,2.57581
1248001,9.51021
1254001,7.74456
1256001,6.48184
1261001,2.45553
1262001,6.7984
1262003,3.88177
1269002,3.28816
1279001,3.00706
1280001,5.22622
1285001,6.75658
1287001,2.87238
1288001,3.96384
1289001,7.15647
1292001,4.44551
1293001,3.78592
1299001,4.5259
1300001,3.82778
1303001,3.81684
1304001,4.19865
1306001,1.31937
1308002,3.88936
1310003,3.9666
1312001,5.12569
1313001,4.8718
1315001,2.17909
1316001,6.90457
1317001,2.60957
1320001,4.53736
1322001,5.14429
1329001,6.33357
1330001,5.65278
1330002,1
1332002,3.54951
1336001,3.28023
1339001,5.87906
1342001,7.10855
1344001,4.11741
1356001,2.53098
1361002,7.25173
1392003,2.4079
1394003,2.07625
1399001,1.43242
1400003,4.44234
1401001,3.36532
1405001,1.21004
1424001,8.57506
1425001,5.70271
1426002,3.36455
1426018,4.23928
1427001,7.86125
1428001,5.19534
1429001,7.7549
1431002,5.21958
1436001,7.35887
1437001,3.78784
1438001,5.38443
1438004,7.86792
1442001,5.127
1443003,3.68221
1443005,5.00062
1445001,6.55715
1445002,5.64911
1450001,3.59398
1452003,3.05419
1452004,2.18691
1453001,3.8828
1454001,3.12528
1456001,9.59449
1457001,5.94992
1461001,5.56416
1464001,6.76795
1465003,3.94758
1467001,10.9093
1471001,6.37095
1472001,2.17248
1473001,3.9861
1474001,7.34117
1474005,5.19586
1475001,3.2198
1476001,5.33714
1478005,2.99948
1478006,5.72695
1479001,1.16666
1479004,5.22651
1480001,2.81585
1481001,1.52073
1482001,1.55813
1484001,6.67059
1486001,3.66009
1487001,3.28015
1488004,8.59548
1489001,3.3967
1490001,5.12397
1491001,4.60091
1492001,3.75712
1495001,2.7854
1497001,3.55787
1498001,9.14756
1499001,7.8005
1500001,9.16487
1501001,9.44866
1503001,9.54051
1508001,7.20897
1512001,9.51429
1520001,3.09
1521001,3.66701
1524001,5.61263
1526006,7.09446
1527001,6.90727
1531001,5.78981
1534001,3.13414
1535001,1.14319
1538001,3.33722
1539001,1.77201
1540001,3.26658
1541001,3.14548
1542001,3.03688
1544001,2.86662
1547001,4.0826
1549001,3.89431
1554001,4.90209
1556004,9.68435
1557001,3.2216
1558001,3.84822
1559001,2.93577
1560001,8.06768
1561001,3.1375
1561004,3.04711
1562001,3.0247
1562003,3.98015
1565001,4.86928
1567001,4.40621
1569001,3.23233
1570001,6.87082
1578001,3.82165
1579003,4.0298
1581001,5.51447
1582003,1
1584003,5.9539
1588001,3.35252
1590001,10.6195
1593002,6.82532
1594001,6.35319
1594005,5.15302
1597001,3.34597
1600001,1.27885
1607001,1
1611002,7.03229
1616001,3.87726
1623001,5.61425
1628001,6.01618
1628002,4.51053
1629001,1
1629003,6.51268
1629007,1
1642002,2.63279
1658003,5.77706
1658004,5.15547
1658005,5.25506
1661001,3.90701
1675001,5.49177
1677001,3.37474
1737001,3.09723
1741001,3.81808
1747001,4.41149
1750001,6.64944
1757001,4.19705
1759001,2.16489
1765001,4.14135
1769001,9.87806
1772001,6.27366
1774001,2.74035
1775002,3.20521
1775005,4.90735
1776001,5.62403
1777001,2.38244
1779001,3.94575
1780001,4.09481
1781002,7.33312
1782001,5.95462
1783001,1.76162
1784001,4.71294
1785001,1.59363
1791001,1.8366
1795001,2.97745
1799001,2.93895
1805005,7.02317
1806001,3.08853
1817001,2.44623
1825001,1
1832001,1.97152
1840001,3.27477
1841001,7.06948
1844001,3.7256
1850002,3.55254
1852001,3.79833
1857003,3.35584
1859001,6.86295
1861001,2.62598
1863001,6.48404
1870001,9.57092
1874001,5.42594
1875001,2.02576
1876001,4.97237
1877003,3.67898
1879001,4.65319
1880001,4.18585
1890005,4.39852
1920001,5.63905
1920002,2.0127
1937001,2.39119
1939001,1
1941001,3.65877
1942001,6.71174
1943001,3.97026
1944001,4.83688
1945001,7.35588
1946001,3.5321
1947001,3.32834
1951004,10.192
1963002,5.87745
1968001,3.58814
1969001,1.28378
1971001,7.44776
1973003,2.54227
1979001,5.73965
1985001,2.10564
1996002,7.97959
2000001,4.39686
2002001,1
2003001,4.18393
2004001,1
2004003,4.73697
2005001,3.02012
2007001,3.85428
2008001,3.61125
2009001,3.51782
2010003,7.15117
2010004,3.89987
2011001,1.69816
2025001,8.31286
2033008,6.53555
2042001,1
2049001,5.15319
2049002,10.0874
2050002,4.18797
2055001,5.53025
2061002,1.54793
2067001,4.84279
2071001,3.78294
2086001,2.57067
2097006,4.60334
2109001,4.51713
2120001,3.62018
2124001,1
2128001,1.35947
2130002,3.67342
2132001,1
2143003,5.4537
2145001,2.46429
2148002,6.80738
2155002,5.65315
2158001,1
2159001,2.86775
2162001,9.32955
2163001,4.24866
2164001,4.90701
2167001,2.13986
2171002,5.66198
2171004,3.53291
2173001,4.49888
2192001,6.7609
2196001,4.3911
2197001,5.18921
2205001,4.14259
2207001,2.06316
2210001,5.59156
2220001,3.42565
2224001,8.26232
2233001,6.58244
2253001,5.33213
2269004,2.74354
2271002,2.30765
2292001,7.89693
2299001,4.3784
2311004,7.85865
2312001,3.34637
2316001,4.35587
2317001,6.02397
2327002,6.92714
2327008,6.34163
2328001,12.4716
2331001,1
2332001,4.40518
2334001,1
2337001,3.97089
2340001,11.0639
2340007,10.1096
2386001,7.64675
2408002,4.39885
2475001,5.25307
2476001,7.53957
2476007,6.6073
2477001,2.59383
2477005,6.54243
2478001,5.92308
2479001,3.89239
2480001,4.07931
2481001,3.0738
2481002,6.46049
2483001,9.98652
2484001,7.48911
2486001,9.98901
2487001,2.25262
2487002,2.68738
2488001,8.43964
2490001,9.29199
2491001,5.98842
2493001,4.4798
2493003,2.86272
2495001,9.80769
2495002,7.2266
2496001,8.9006
2497001,2.88523
2498001,8.86036
2499001,7.30994
2500001,3.47493
2500002,4.90033
2501001,9.68812
2502001,7.44894
2503001,10.9477
2504003,3.39862
2505001,9.21286
2506001,9.30484
2507001,5.18033
2508001,3.04857
2510001,9.15438
2513001,7.42366
2515001,10.6903
2516001,8.70082
2517001,11.0602
2518001,9.42093
2519001,8.28477
2520001,6.76294
2520002,1
2520004,6.5555
2521001,4.54498
2521009,4.43826
2522001,11.3119
2523003,7.47607
2524002,8.53157
2525001,5.03095
2528001,9.98481
2530002,8.41867
2536001,6.58987
2536002,7.56898
2772028,4.05533
2854001,5.05098
2879007,5.7003
2879009,4.71095
2880003,4.99896
